"participant","phoneme","feature","muscle","repetition","value"
"volunteer 3","I","MAV","OOS","2",11.307188308562
"volunteer 4","I","MAV","OOS","2",4.4584157759191
"volunteer 5","I","MAV","OOS","2",6.69407616353755
"volunteer 1","O","MAV","OOS","2",8.89107271860986
"volunteer 2","O","MAV","OOS","2",9.11454153551459
"volunteer 3","O","MAV","OOS","2",13.4228840257398
"volunteer 4","O","MAV","OOS","2",21.5836210972322
"volunteer 5","O","MAV","OOS","2",23.4798661741046
"volunteer 1","U","MAV","OOS","2",14.9869553989614
"volunteer 2","U","MAV","OOS","2",56.0270341486852
"volunteer 3","U","MAV","OOS","2",19.4093832149236
"volunteer 4","U","MAV","OOS","2",24.926670294882
"volunteer 5","U","MAV","OOS","2",40.1476255593852
"volunteer 1","A","RMS","OOI","2",10.4898814099686
"volunteer 2","A","RMS","OOI","2",14.3424956542179
"volunteer 3","A","RMS","OOI","2",9.04288120110748
"volunteer 4","A","RMS","OOI","2",27.5010623602148
"volunteer 5","A","RMS","OOI","2",24.3410509752474
"volunteer 1","E","RMS","OOI","2",12.5135775667432
"volunteer 2","E","RMS","OOI","2",23.3993657879899
"volunteer 3","E","RMS","OOI","2",10.6406730419666
"volunteer 4","E","RMS","OOI","2",22.9437194070361
"volunteer 5","E","RMS","OOI","2",15.1407998065179
"volunteer 1","I","RMS","OOI","2",12.1901880837349
"volunteer 2","I","RMS","OOI","2",34.7197789877167
"volunteer 3","I","RMS","OOI","2",11.6335678040325
"volunteer 4","I","RMS","OOI","2",26.125101796984
"volunteer 5","I","RMS","OOI","2",30.1365481782607
"volunteer 1","O","RMS","OOI","2",10.9738971544634
"volunteer 2","O","RMS","OOI","2",14.1821081917061
"volunteer 3","O","RMS","OOI","2",6.16187719461483
"volunteer 4","O","RMS","OOI","2",75.3749281406178
"volunteer 5","O","RMS","OOI","2",33.7173030812662
"volunteer 1","U","RMS","OOI","2",14.1638027634154
"volunteer 2","U","RMS","OOI","2",204.316385947786
"volunteer 3","U","RMS","OOI","2",17.8744140208289
"volunteer 4","U","RMS","OOI","2",60.7829538462327
"volunteer 5","U","RMS","OOI","2",121.829411567188
